table_name,field_name,field_value,language,translation
stops,stop_name,問屋会館前,ja-Hrkt,とんやかいかんまえ
stops,stop_name,問屋会館前,en,Tonyakaikan mae
stops,stop_name,老年病研究所前,ja-Hrkt,ろうねんびょうけんきゅうじょまえ
stops,stop_name,老年病研究所前,en,Rounenbyou kenkyuujo(Geriatrics research institute and hospital)
stops,stop_name,マーキュリーホテル前,ja-Hrkt,まーきゅりーほてるまえ
stops,stop_name,マーキュリーホテル前,en,Mercury Hotel mae
stops,stop_name,大友町,ja-Hrkt,おおともまち
stops,stop_name,大友町,en,Ootomo-machi
stops,stop_name,ＮＨＫ入口,ja-Hrkt,えぬえいちけーいりぐち
stops,stop_name,ＮＨＫ入口,en,NHK Iriguchi
stops,stop_name,産業道路入口,ja-Hrkt,さんぎょうどうろいりぐち
stops,stop_name,産業道路入口,en,Sangyoudouro Iriguchi
stops,stop_name,明神東,ja-Hrkt,みょうじんひがし
stops,stop_name,明神東,en,Myoujin higashi
stops,stop_name,明神前,ja-Hrkt,みょうじんまえ
stops,stop_name,明神前,en,Myoujin mae(Souja Shrine)
stops,stop_name,総社神社南,ja-Hrkt,そうじゃじんじゃみなみ
stops,stop_name,総社神社南,en,Soujajinja minami(South of Souja Shine)
stops,stop_name,元総社,ja-Hrkt,もとそうじゃ
stops,stop_name,元総社,en,Motosouja
stops,stop_name,県民共済前,ja-Hrkt,けんみんきょうさいまえ
stops,stop_name,県民共済前,en,Kenminkyousai mae
stops,stop_name,市町村会館前,ja-Hrkt,しちょうそんかいかんまえ
stops,stop_name,市町村会館前,en,Shichousonkaikan mae(Gunma Prefectural Municipality Hall)
stops,stop_name,新前橋駅西口,ja-Hrkt,しんまえばしえきにしぐち
stops,stop_name,新前橋駅西口,en,Shin Maebashi Eki Nishiguchi(ShinMaebasi Sta.West Exit)
stops,stop_name,平和町,ja-Hrkt,へいわちょう
stops,stop_name,平和町,en,Heiwa-chou
stops,stop_name,伊勢崎市文化会館,ja-Hrkt,いせさきしぶんかかいかん
stops,stop_name,伊勢崎市文化会館,en,Isesakishibunkakaikan(Isesaki city Cultural Center)
stops,stop_name,上諏訪町,ja-Hrkt,かみすわちょう
stops,stop_name,上諏訪町,en,Kamisuwa-cho
stops,stop_name,スマーク,ja-Hrkt,すまーく
stops,stop_name,スマーク,en,SMARK Isesaki
stops,stop_name,高崎駅東口,ja-Hrkt,たかさきえきひがしぐち
stops,stop_name,高崎駅東口,en,Takasaki Eki higashiguchi(Takasaki Sta. East Exit)
stops,stop_name,税務署前,ja-Hrkt,ぜいむしょまえ
stops,stop_name,税務署前,en,Zeimusho mae
stops,stop_name,江木十字路,ja-Hrkt,えぎじゅうじろ
stops,stop_name,江木十字路,en,Egi Jujiro(Egi Crossroad)
stops,stop_name,江木町,ja-Hrkt,えぎまち
stops,stop_name,江木町,en,Egi-machi
stops,stop_name,希望館病院入口,ja-Hrkt,きぼうかんびょういんいりぐち
stops,stop_name,希望館病院入口,en,Kiboukan Byouin Iriguchi(Kiboukan Hospital)
stops,stop_name,高崎女子高校前,ja-Hrkt,たかさきじょしこうこうまえ
stops,stop_name,高崎女子高校前,en,Takasaki Joshikoukou(Takasaki G.H.S)
